incidentDate,state,cityOrCounty,address,killed,injured,operations: d.operations,type,age
19-Mar-14,Louisiana,New Orleans,3600 block of Kimi O'Gray Avenue,1,0,N/A,Accidental,Teen
13-Mar-14,Texas,Emory,County Road 2130,1,0,N/A,Accidental,Teen
11-Mar-14,Indiana,Greensburg,1000 block of North Carver Street,1,0,N/A,Accidental,Teen
01-Mar-14,Illinois,Rock Falls,28615 Rock Ridge Dr,1,0,N/A,Accidental,Teen
01-Mar-14,Texas,Houston,12800 block of Gotham,1,0,N/A,Accidental,Teen
28-Feb-14,Louisiana,Shreveport,3100 block of Woodford Street,1,0,N/A,Accidental,Teen
25-Feb-14,Tennessee,Memphis,600 block of Hillcrest Street,1,0,N/A,Accidental,Teen
22-Feb-14,Tennessee,Memphis,Weaver Road and Canary Lane,1,0,N/A,Accidental,Teen
15-Feb-14,Georgia,Cartersville (Euharlee),937 Euharlee Rd SW,1,0,N/A,Accidental,Teen
11-Feb-14,Wisconsin,Boscobel,43105 Whippoorwill Ln,1,0,N/A,Accidental,Teen
09-Feb-14,South Carolina,Eutawville,Yearling Drive,1,0,N/A,Accidental,Teen
07-Feb-14,Massachusetts,Boston,617 Morton St.,1,0,N/A,Accidental,Teen
06-Feb-14,Washington,Puyallup,500 block of 11th Street,1,0,N/A,Accidental,Teen
28-Jan-14,Tennessee,Hermitage,345 Burning Tree Dr,1,0,N/A,Accidental,Teen
25-Jan-14,Texas,Kilgore,1100 block of highway 31,1,0,N/A,Accidental,Teen
20-Jan-14,Alabama,Decatur,3100 block of Cotton Place,1,0,N/A,Accidental,Teen
02-Jan-14,Pennsylvania,Dunbar,200 block of Hustosky Road,1,0,N/A,Accidental,Teen
01-Jan-14,Mississippi,Bogue Chitto,1347 Brumfield Rd SW,1,0,N/A,Accidental,Teen
19-Nov-16,Illinois,Pembroke Township,13500E block of 2000S Road,0,1,N/A,Accidental,Teen
